N,Tiempo Backtracking,Soluciones Backtracking,Estados Backtracking,Tiempo Forward,Soluciones Forward,Estados Forward
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.001506805419921875,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
4,0.0,2,60,0.0,2,17
8,0.008987665176391602,92,15720,0.005494832992553711,92,2057
8,0.008570194244384766,92,15720,0.00498652458190918,92,2057
8,0.008108139038085938,92,15720,0.005010128021240234,92,2057
8,0.008975744247436523,92,15720,0.004496574401855469,92,2057
8,0.009553670883178711,92,15720,0.003989696502685547,92,2057
8,0.009509563446044922,92,15720,0.0045680999755859375,92,2057
8,0.008452177047729492,92,15720,0.005015850067138672,92,2057
8,0.009618282318115234,92,15720,0.004598140716552734,92,2057
8,0.008543968200683594,92,15720,0.004605770111083984,92,2057
8,0.009085655212402344,92,15720,0.003988742828369141,92,2057
8,0.00948333740234375,92,15720,0.004496335983276367,92,2057
8,0.00904393196105957,92,15720,0.004016399383544922,92,2057
8,0.009538888931274414,92,15720,0.003988027572631836,92,2057
8,0.009576797485351562,92,15720,0.003597259521484375,92,2057
8,0.009197473526000977,92,15720,0.004552364349365234,92,2057
8,0.008893489837646484,92,15720,0.00498652458190918,92,2057
8,0.008650541305541992,92,15720,0.0039882659912109375,92,2057
8,0.009635448455810547,92,15720,0.004067659378051758,92,2057
8,0.008917808532714844,92,15720,0.0049593448638916016,92,2057
8,0.008988618850708008,92,15720,0.004513740539550781,92,2057
8,0.009476900100708008,92,15720,0.003991365432739258,92,2057
8,0.009495973587036133,92,15720,0.003988504409790039,92,2057
8,0.008995771408081055,92,15720,0.00496983528137207,92,2057
8,0.009030818939208984,92,15720,0.003989219665527344,92,2057
8,0.009347200393676758,92,15720,0.003989696502685547,92,2057
8,0.009513378143310547,92,15720,0.0050508975982666016,92,2057
8,0.00848531723022461,92,15720,0.004988670349121094,92,2057
8,0.008499860763549805,92,15720,0.003988742828369141,92,2057
8,0.009512186050415039,92,15720,0.0045697689056396484,92,2057
8,0.009090900421142578,92,15720,0.003989696502685547,92,2057
10,0.2387394905090332,724,348150,0.09720373153686523,724,35539
10,0.23335862159729004,724,348150,0.09236001968383789,724,35539
10,0.23821711540222168,724,348150,0.09016156196594238,724,35539
10,0.23362278938293457,724,348150,0.0883781909942627,724,35539
10,0.23186850547790527,724,348150,0.08812308311462402,724,35539
10,0.2350311279296875,724,348150,0.08926963806152344,724,35539
10,0.23102521896362305,724,348150,0.08882570266723633,724,35539
10,0.23112964630126953,724,348150,0.0876169204711914,724,35539
10,0.23190021514892578,724,348150,0.08841657638549805,724,35539
10,0.23182344436645508,724,348150,0.08879351615905762,724,35539
10,0.2305607795715332,724,348150,0.0895531177520752,724,35539
10,0.23650336265563965,724,348150,0.08973431587219238,724,35539
10,0.23486089706420898,724,348150,0.08945631980895996,724,35539
10,0.2325136661529541,724,348150,0.0893857479095459,724,35539
10,0.23099803924560547,724,348150,0.08887791633605957,724,35539
10,0.23879480361938477,724,348150,0.08963322639465332,724,35539
10,0.23365998268127441,724,348150,0.08849000930786133,724,35539
10,0.2328929901123047,724,348150,0.08955240249633789,724,35539
10,0.23236298561096191,724,348150,0.09856152534484863,724,35539
10,0.25070667266845703,724,348150,0.09334087371826172,724,35539
10,0.23106169700622559,724,348150,0.08909797668457031,724,35539
10,0.2319192886352539,724,348150,0.091583251953125,724,35539
10,0.23297667503356934,724,348150,0.09006452560424805,724,35539
10,0.23787474632263184,724,348150,0.08913397789001465,724,35539
10,0.23227477073669434,724,348150,0.08854460716247559,724,35539
10,0.23456954956054688,724,348150,0.08844614028930664,724,35539
10,0.23177576065063477,724,348150,0.0889897346496582,724,35539
10,0.23200440406799316,724,348150,0.08835649490356445,724,35539
10,0.23173308372497559,724,348150,0.08817172050476074,724,35539
10,0.23107385635375977,724,348150,0.08911371231079102,724,35539
